reading,symbol,fut_net,call_net_w,put_net_w,new_net
2026-09-07_1130,360ONE,5.0,0.72,1.78,7.5
2026-09-07_1130,ABB,21.0,-3.53,4.88,22.35
2026-09-07_1130,ABCAPITAL,9.0,1.41,2.22,12.63
2026-09-07_1130,ADANIENSOL,46.0,13.37,-0.19,59.18
2026-09-07_1130,ADANIENT,43.0,18.81,-3.37,58.44
2026-09-07_1130,ADANIGREEN,41.0,-1.26,2.88,42.62
2026-09-07_1130,ADANIPORTS,30.0,-5.96,3.53,27.58
2026-09-07_1130,ADANIPOWER,60.0,9.32,4.08,73.4
2026-09-07_1130,ALKEM,3.0,0.86,0.0,3.86
2026-09-07_1130,AMBER,13.0,7.49,0.11,20.6
2026-09-07_1130,AMBUJACEM,73.0,15.08,11.19,99.27
2026-09-07_1130,ANGELONE,12.0,5.25,-0.43,16.82
2026-09-07_1130,APLAPOLLO,2.0,-1.46,0.65,1.19
2026-09-07_1130,APOLLOHOSP,3.0,-3.29,2.69,2.4
2026-09-07_1130,ASHOKLEY,28.0,4.86,10.69,43.55
2026-09-07_1130,ASIANPAINT,18.0,4.45,1.73,24.18
2026-09-07_1130,ASTRAL,11.0,-1.18,3.8,13.62
2026-09-07_1130,ATHERENERG,3.0,6.15,1.0,10.15
2026-09-07_1130,AUBANK,3.0,2.77,1.88,7.65
2026-09-07_1130,AUROPHARMA,4.0,1.36,0.71,6.07
2026-09-07_1130,AXISBANK,30.0,-7.52,25.0,47.48
2026-09-07_1130,BAJAJ-AUTO,5.0,3.44,0.31,8.75
2026-09-07_1130,BAJAJFINSV,1.0,5.56,0.43,7.0
2026-09-07_1130,BAJAJHLDNG,1.0,0.0,0.0,1.0
2026-09-07_1130,BAJFINANCE,17.0,8.25,1.18,26.43
2026-09-07_1130,BANDHANBNK,34.0,1.49,46.03,81.53
2026-09-07_1130,BANKBARODA,57.0,-5.74,23.95,75.21
2026-09-07_1130,BANKINDIA,14.0,-1.73,5.32,17.58
2026-09-07_1130,BANKNIFTY,91.0,39.0,23.27,153.26
2026-09-07_1130,BDL,32.0,6.11,2.38,40.49
2026-09-07_1130,BEL,87.0,3.83,18.24,109.07
2026-09-07_1130,BHARATFORG,12.0,6.25,11.0,29.25
2026-09-07_1130,BHARTIARTL,31.0,10.99,9.43,51.42
2026-09-07_1130,BHEL,12.0,13.06,3.44,28.49
2026-09-07_1130,BIOCON,39.0,0.07,4.96,44.04
2026-09-07_1130,BLUESTARCO,13.0,-1.68,2.35,13.68
2026-09-07_1130,BOSCHLTD,-4.0,-0.05,-1.51,-5.56
2026-09-07_1130,BPCL,15.0,-0.28,1.32,16.04
2026-09-07_1130,BRITANNIA,8.0,4.05,1.09,13.14
2026-09-07_1130,BSE,64.0,13.22,2.42,79.64
2026-09-07_1130,CAMS,24.0,-1.3,2.92,25.62
2026-09-07_1130,CANBK,43.0,7.3,14.2,64.5
2026-09-07_1130,CDSL,39.0,5.26,6.42,50.69
2026-09-07_1130,CGPOWER,7.0,3.64,0.34,10.98
2026-09-07_1130,CHOLAFIN,0.0,-4.55,3.9,-0.65
2026-09-07_1130,CIPLA,8.0,6.08,1.35,15.42
2026-09-07_1130,COALINDIA,28.0,5.04,2.96,36.0
2026-09-07_1130,COCHINSHIP,4.0,8.35,2.0,14.35
2026-09-07_1130,COFORGE,21.0,-5.74,1.97,17.24
2026-09-07_1130,COLPAL,42.0,0.34,1.08,43.42
2026-09-07_1130,CONCOR,48.0,6.18,4.12,58.3
2026-09-07_1130,CROMPTON,30.0,1.29,10.41,41.7
2026-09-07_1130,CUMMINSIND,10.0,-2.99,4.0,11.01
2026-09-07_1130,DABUR,45.0,6.25,8.77,60.02
2026-09-07_1130,DELHIVERY,15.0,7.1,0.88,22.98
2026-09-07_1130,DIVISLAB,-6.0,3.16,-5.26,-8.1
2026-09-07_1130,DIXON,29.0,14.82,12.28,56.1
