reading,symbol,ltp
2026-09-07_1130,BANKNIFTY,57378.0
2026-09-07_1130,NIFTY,23909.5
2026-09-07_1130,360ONE,1141.1
2026-09-07_1130,ABB,7425.0
2026-09-07_1130,ABCAPITAL,402.6
2026-09-07_1130,ADANIENSOL,1415.5
2026-09-07_1130,ADANIENT,2962.0
2026-09-07_1130,ADANIGREEN,1308.0
2026-09-07_1130,ADANIPORTS,1706.0
2026-09-07_1130,ADANIPOWER,207.35
2026-09-07_1130,ALKEM,5192.5
2026-09-07_1130,AMBER,7433.0
2026-09-07_1130,AMBUJACEM,403.45
2026-09-07_1130,ANGELONE,308.1
2026-09-07_1130,APLAPOLLO,2230.7
2026-09-07_1130,APOLLOHOSP,8717.0
2026-09-07_1130,ASHOKLEY,170.3
2026-09-07_1130,ASIANPAINT,2517.6
2026-09-07_1130,ASTRAL,1503.4
2026-09-07_1130,ATHERENERG,1609.0
2026-09-07_1130,AUBANK,1060.5
2026-09-07_1130,AUROPHARMA,1661.4
2026-09-07_1130,AXISBANK,1271.0
2026-09-07_1130,BAJAJ-AUTO,11847.0
2026-09-07_1130,BAJAJFINSV,1971.1
2026-09-07_1130,BAJAJHLDNG,11058.0
2026-09-07_1130,BAJFINANCE,1062.8
2026-09-07_1130,BANDHANBNK,163.79
2026-09-07_1130,BANKBARODA,238.21
2026-09-07_1130,BANKINDIA,142.48
2026-09-07_1130,BDL,1257.7
2026-09-07_1130,BEL,410.0
2026-09-07_1130,BHARATFORG,1962.6
2026-09-07_1130,BHARTIARTL,1853.0
2026-09-07_1130,BHEL,431.75
2026-09-07_1130,BIOCON,397.35
2026-09-07_1130,BLUESTARCO,1480.0
2026-09-07_1130,BOSCHLTD,47185.0
2026-09-07_1130,BPCL,314.65
2026-09-07_1130,BRITANNIA,5079.0
2026-09-07_1130,BSE,3458.5
2026-09-07_1130,CAMS,747.6
2026-09-07_1130,CANBK,125.0
2026-09-07_1130,CDSL,1437.9
2026-09-07_1130,CHOLAFIN,1815.1
2026-09-07_1130,CIPLA,1390.9
2026-09-07_1130,CGPOWER,902.9
2026-09-07_1130,COALINDIA,419.0
2026-09-07_1130,COCHINSHIP,1523.1
2026-09-07_1130,COFORGE,1946.3
2026-09-07_1130,COLPAL,1825.0
2026-09-07_1130,CONCOR,509.85
2026-09-07_1130,CROMPTON,232.97
2026-09-07_1130,CUMMINSIND,5077.0
2026-09-07_1130,DABUR,379.75
2026-09-07_1130,DELHIVERY,459.2
2026-09-07_1130,DIVISLAB,9273.5
2026-09-07_1130,DIXON,14115.0
2026-09-07_1130,DLF,679.15
2026-09-07_1130,DMART,3738.2
2026-09-07_1130,DRREDDY,1153.0
2026-09-07_1130,EICHERMOT,7709.5
2026-09-07_1130,FEDERALBNK,342.65
2026-09-07_1130,FINNIFTY,26076.0
2026-09-07_1130,FORTIS,901.85
2026-09-07_1130,FORCEMOT,17634.0
2026-09-07_1130,GAIL,177.29
2026-09-07_1130,GLENMARK,2464.0
2026-09-07_1130,GMRAIRPORT,96.81
2026-09-07_1130,GODFRYPHLP,2036.5
2026-09-07_1130,GODREJCP,871.7
2026-09-07_1130,GODREJPROP,1953.4
2026-09-07_1130,GRASIM,3323.0
2026-09-07_1130,GVT&D,4369.1
2026-09-07_1130,HAL,4904.0
2026-09-07_1130,HAVELLS,1141.0
2026-09-07_1130,HCLTECH,1272.2
2026-09-07_1130,HDFCAMC,2458.5
2026-09-07_1130,HDFCBANK,712.4
2026-09-07_1130,HDFCLIFE,541.75
2026-09-07_1130,HEROMOTOCO,5343.5
2026-09-07_1130,HINDALCO,1009.7
2026-09-07_1130,HINDPETRO,353.55
2026-09-07_1130,HINDUNILVR,1969.3
2026-09-07_1130,HINDZINC,594.6
2026-09-07_1130,HYUNDAI,2205.0
2026-09-07_1130,ICICIBANK,1433.6
2026-09-07_1130,ICICIGI,1511.8
2026-09-07_1130,ICICIPRULI,485.4
2026-09-07_1130,IDEA,15.62
2026-09-07_1130,IDFCFIRSTB,86.41
2026-09-07_1130,IEX,118.33
2026-09-07_1130,INDHOTEL,717.85
2026-09-07_1130,INDIANB,873.85
2026-09-07_1130,INDIGO,4988.0
2026-09-07_1130,INDUSINDBK,1017.8
2026-09-07_1130,INDUSTOWER,381.75
2026-09-07_1130,INFY,1101.0
2026-09-07_1130,INOXWIND,75.28
2026-09-07_1130,IOC,136.38
2026-09-07_1130,IREDA,108.47
2026-09-07_1130,IRFC,83.32
2026-09-07_1130,ITC,264.7
2026-09-07_1130,JIOFIN,237.12
2026-09-07_1130,JINDALSTEL,1147.0
2026-09-07_1130,JSWENERGY,542.05
2026-09-07_1130,JSWSTEEL,1320.0
2026-09-07_1130,JUBLFOOD,479.95
2026-09-07_1130,KALYANKJIL,597.0
2026-09-07_1130,KAYNES,3480.0
2026-09-07_1130,KEI,4735.0
2026-09-07_1130,KFINTECH,929.0
2026-09-07_1130,KOTAKBANK,424.7
2026-09-07_1130,KPITTECH,569.2
2026-09-07_1130,LAURUSLABS,1863.0
2026-09-07_1130,LICHSGFIN,564.3
2026-09-07_1130,LICI,416.15
2026-09-07_1130,LODHA,1202.8
2026-09-07_1130,LT,4014.0
2026-09-07_1130,LTF,312.6
2026-09-07_1130,LTM,4384.8
2026-09-07_1130,LUPIN,2127.0
2026-09-07_1130,M&M,3181.4
2026-09-07_1130,MAHABANK,86.12
2026-09-07_1130,MANAPPURAM,328.65
2026-09-07_1130,MANKIND,2328.8
2026-09-07_1130,MARICO,816.2
2026-09-07_1130,MARUTI,12782.0
2026-09-07_1130,MAXHEALTH,985.7
2026-09-07_1130,MAZDOCK,2484.5
2026-09-07_1130,MCX,3366.5
2026-09-07_1130,MFSL,1529.4
2026-09-07_1130,MIDCPNIFTY,14748.0
2026-09-07_1130,MOTHERSON,163.65
2026-09-07_1130,MOTILALOFS,1051.8
2026-09-07_1130,MPHASIS,2373.0
2026-09-07_1130,MUTHOOTFIN,2910.8
2026-09-07_1130,NAM-INDIA,1180.2
2026-09-07_1130,NATIONALUM,371.0
2026-09-07_1130,NAUKRI,1306.9
2026-09-07_1130,NBCC,86.66
2026-09-07_1130,NESTLEIND,1403.5
2026-09-07_1130,NHPC,76.23
2026-09-07_1130,NIFTYNXT50,72977.4
2026-09-07_1130,NMDC,83.65
2026-09-07_1130,NTPC,333.8
2026-09-07_1130,NYKAA,335.2
2026-09-07_1130,OBEROIRLTY,1874.4
2026-09-07_1130,OFSS,11849.0
2026-09-07_1130,OIL,487.7
2026-09-07_1130,ONGC,234.3
2026-09-07_1130,PAGEIND,36150.0
2026-09-07_1130,PATANJALI,342.05
2026-09-07_1130,PAYTM,1665.1
2026-09-07_1130,PERSISTENT,5547.5
2026-09-07_1130,PETRONET,292.25
2026-09-07_1130,PFC,357.6
2026-09-07_1130,PGEL,557.2
2026-09-07_1130,PHOENIXLTD,1915.2
2026-09-07_1130,PIDILITIND,1610.0
2026-09-07_1130,PIIND,2408.9
2026-09-07_1130,PNB,116.18
2026-09-07_1130,PNBHOUSING,1172.0
2026-09-07_1130,POLICYBZR,1841.2
2026-09-07_1130,POLYCAB,8289.0
2026-09-07_1130,POWERGRID,265.95
2026-09-07_1130,POWERINDIA,32135.0
2026-09-07_1130,PREMIERENE,1004.8
2026-09-07_1130,PRESTIGE,1570.0
2026-09-07_1130,RADICO,4517.0
2026-09-07_1130,RBLBANK,410.85
2026-09-07_1130,RECLTD,318.4
2026-09-07_1130,RELIANCE,1324.0
2026-09-07_1130,RVNL,214.2
2026-09-07_1130,SAGILITY,46.73
2026-09-07_1130,SAIL,191.18
2026-09-07_1130,SBICARD,663.6
2026-09-07_1130,SBILIFE,1758.0
2026-09-07_1130,SBIN,1012.0
2026-09-07_1130,SENSEX,76678.8
2026-09-07_1130,SHREECEM,23760.0
2026-09-07_1130,SHRIRAMFIN,1038.1
2026-09-07_1130,SIEMENS,3973.7
2026-09-07_1130,SOLARINDS,22225.0
2026-09-07_1130,SONACOMS,792.5
2026-09-07_1130,SRF,2557.3
2026-09-07_1130,SUNPHARMA,1903.1
2026-09-07_1130,SUPREMEIND,3580.2
2026-09-07_1130,SUZLON,45.6
2026-09-07_1130,SWIGGY,280.2
2026-09-07_1130,TATACONSUM,1013.0
2026-09-07_1130,TATAELXSI,3511.5
2026-09-07_1130,TATAPOWER,366.45
2026-09-07_1130,TATASTEEL,186.15
2026-09-07_1130,TCS,2286.3
2026-09-07_1130,TECHM,1574.2
2026-09-07_1130,TIINDIA,2706.5
2026-09-07_1130,TITAN,5014.0
2026-09-07_1130,TMPV,311.5
2026-09-07_1130,TORNTPHARM,4910.0
2026-09-07_1130,TRENT,2827.0
2026-09-07_1130,TVSMOTOR,4148.3
2026-09-07_1130,ULTRACEMCO,11298.0
2026-09-07_1130,UNIONBANK,184.32
2026-09-07_1130,UNITDSPR,1464.3
2026-09-07_1130,UNOMINDA,1233.6
2026-09-07_1130,VBL,407.25
2026-09-07_1130,UPL,584.1
2026-09-07_1130,VEDL,270.05
2026-09-07_1130,VMM,105.01
2026-09-07_1130,VOLTAS,1176.3
2026-09-07_1130,WAAREEENER,2629.0
2026-09-07_1130,WIPRO,173.45
2026-09-07_1130,YESBANK,22.49
2026-09-07_1130,ETERNAL,322.75
2026-09-07_1130,ZYDUSLIFE,1132.5
2026-09-07_1430,BANKNIFTY,57445.0
2026-09-07_1430,NIFTY,23890.0
2026-09-07_1430,360ONE,1131.5
2026-09-07_1430,ABB,7421.5
2026-09-07_1430,ABCAPITAL,405.4
2026-09-07_1430,ADANIENSOL,1403.4
2026-09-07_1430,ADANIENT,2950.5
2026-09-07_1430,ADANIGREEN,1298.8
2026-09-07_1430,ADANIPORTS,1709.4
2026-09-07_1430,ADANIPOWER,206.5
2026-09-07_1430,ALKEM,5140.0
2026-09-07_1430,AMBER,7437.5
2026-09-07_1430,AMBUJACEM,402.35
2026-09-07_1430,ANGELONE,305.4
2026-09-07_1430,APLAPOLLO,2216.3
2026-09-07_1430,APOLLOHOSP,8812.0
2026-09-07_1430,ASHOKLEY,169.86
2026-09-07_1430,ASIANPAINT,2506.7
2026-09-07_1430,ASTRAL,1498.5
2026-09-07_1430,ATHERENERG,1600.0
2026-09-07_1430,AUBANK,1063.2
2026-09-07_1430,AUROPHARMA,1659.1
2026-09-07_1430,AXISBANK,1270.7
2026-09-07_1430,BAJAJ-AUTO,11886.0
2026-09-07_1430,BAJAJFINSV,1961.2
2026-09-07_1430,BAJAJHLDNG,11120.0
2026-09-07_1430,BAJFINANCE,1064.2
2026-09-07_1430,BANDHANBNK,163.4
2026-09-07_1430,BANKBARODA,237.71
2026-09-07_1430,BANKINDIA,142.57
2026-09-07_1430,BDL,1240.6
2026-09-07_1430,BEL,407.0
2026-09-07_1430,BHARATFORG,1954.7
2026-09-07_1430,BHARTIARTL,1852.6
2026-09-07_1430,BHEL,425.85
2026-09-07_1430,BIOCON,392.7
2026-09-07_1430,BLUESTARCO,1480.0
2026-09-07_1430,BOSCHLTD,48345.0
2026-09-07_1430,BPCL,313.3
2026-09-07_1430,BRITANNIA,5066.5
2026-09-07_1430,BSE,3467.9
2026-09-07_1430,CAMS,744.6
2026-09-07_1430,CANBK,124.94
2026-09-07_1430,CDSL,1426.2
2026-09-07_1430,CHOLAFIN,1844.2
2026-09-07_1430,CIPLA,1387.4
2026-09-07_1430,CGPOWER,905.0
2026-09-07_1430,COALINDIA,420.85
2026-09-07_1430,COCHINSHIP,1515.0
2026-09-07_1430,COFORGE,1935.0
2026-09-07_1430,COLPAL,1818.5
2026-09-07_1430,CONCOR,505.95
2026-09-07_1430,CROMPTON,231.49
2026-09-07_1430,CUMMINSIND,5069.0
2026-09-07_1430,DABUR,377.3
2026-09-07_1430,DELHIVERY,453.3
2026-09-07_1430,DIVISLAB,9259.5
2026-09-07_1430,DIXON,13937.0
2026-09-07_1430,DLF,679.25
2026-09-07_1430,DMART,3721.4
2026-09-07_1430,DRREDDY,1152.0
2026-09-07_1430,EICHERMOT,7748.0
2026-09-07_1430,FEDERALBNK,343.35
2026-09-07_1430,FINNIFTY,26102.0
2026-09-07_1430,FORTIS,904.0
2026-09-07_1430,FORCEMOT,17835.0
2026-09-07_1430,GAIL,177.15
2026-09-07_1430,GLENMARK,2466.5
2026-09-07_1430,GMRAIRPORT,97.06
2026-09-07_1430,GODFRYPHLP,2033.3
2026-09-07_1430,GODREJCP,865.45
2026-09-07_1430,GODREJPROP,1934.7
2026-09-07_1430,GRASIM,3309.7
2026-09-07_1430,GVT&D,4368.2
2026-09-07_1430,HAL,4890.2
2026-09-07_1430,HAVELLS,1130.6
2026-09-07_1430,HCLTECH,1263.8
2026-09-07_1430,HDFCAMC,2458.7
2026-09-07_1430,HDFCBANK,714.0
2026-09-07_1430,HDFCLIFE,541.05
2026-09-07_1430,HEROMOTOCO,5330.5
2026-09-07_1430,HINDALCO,1008.5
2026-09-07_1430,HINDPETRO,353.75
2026-09-07_1430,HINDUNILVR,1974.4
2026-09-07_1430,HINDZINC,593.85
2026-09-07_1430,HYUNDAI,2193.1
2026-09-07_1430,ICICIBANK,1434.6
2026-09-07_1430,ICICIGI,1507.6
2026-09-07_1430,ICICIPRULI,476.25
2026-09-07_1430,IDEA,15.64
2026-09-07_1430,IDFCFIRSTB,86.58
2026-09-07_1430,IEX,118.26
2026-09-07_1430,INDHOTEL,718.5
2026-09-07_1430,INDIANB,875.85
2026-09-07_1430,INDIGO,5018.0
2026-09-07_1430,INDUSINDBK,1007.1
2026-09-07_1430,INDUSTOWER,379.5
2026-09-07_1430,INFY,1094.1
2026-09-07_1430,INOXWIND,75.35
2026-09-07_1430,IOC,136.4
2026-09-07_1430,IREDA,108.65
2026-09-07_1430,IRFC,83.0
2026-09-07_1430,ITC,264.35
2026-09-07_1430,JIOFIN,235.99
2026-09-07_1430,JINDALSTEL,1150.0
2026-09-07_1430,JSWENERGY,536.55
2026-09-07_1430,JSWSTEEL,1315.2
2026-09-07_1430,JUBLFOOD,473.7
2026-09-07_1430,KALYANKJIL,590.6
2026-09-07_1430,KAYNES,3455.0
2026-09-07_1430,KEI,4681.0
2026-09-07_1430,KFINTECH,928.15
2026-09-07_1430,KOTAKBANK,426.25
2026-09-07_1430,KPITTECH,564.45
2026-09-07_1430,LAURUSLABS,1867.1
2026-09-07_1430,LICHSGFIN,559.5
2026-09-07_1430,LICI,412.55
