symbol,strike,co_b,co_s,po_b,po_s,fut_b,fut_s
360ONE,0.0,0.0,0.0,0.0,0.0,5.0,0.0
360ONE,1060.0,0.0,1.0,0.0,0.0,0.0,0.0
360ONE,1120.0,0.0,0.0,0.0,2.0,0.0,0.0
360ONE,1200.0,2.0,0.0,0.0,0.0,0.0,0.0
360ONE,1240.0,0.0,1.0,0.0,0.0,0.0,0.0
360ONE,1300.0,5.0,0.0,0.0,0.0,0.0,0.0
ABB,0.0,0.0,0.0,0.0,0.0,22.0,1.0
ABB,7200.0,0.0,1.0,0.0,0.0,0.0,0.0
ABB,7300.0,0.0,4.0,0.0,1.0,0.0,0.0
ABB,7400.0,0.0,0.0,0.0,1.0,0.0,0.0
ABB,7500.0,1.0,0.0,0.0,0.0,0.0,0.0
ABB,7600.0,0.0,0.0,0.0,3.0,0.0,0.0
ABB,7700.0,1.0,0.0,0.0,0.0,0.0,0.0
ABB,7800.0,1.0,0.0,0.0,0.0,0.0,0.0
ABB,8000.0,1.0,2.0,0.0,0.0,0.0,0.0
ABB,8200.0,1.0,3.0,0.0,0.0,0.0,0.0
ABB,8400.0,1.0,0.0,0.0,0.0,0.0,0.0
ABB,8500.0,1.0,0.0,0.0,0.0,0.0,0.0
ABCAPITAL,0.0,0.0,0.0,0.0,0.0,11.0,2.0
ABCAPITAL,380.0,0.0,0.0,1.0,0.0,0.0,0.0
ABCAPITAL,390.0,0.0,1.0,1.0,1.0,0.0,0.0
ABCAPITAL,395.0,0.0,0.0,0.0,1.0,0.0,0.0
ABCAPITAL,400.0,1.0,2.0,1.0,1.0,0.0,0.0
ABCAPITAL,405.0,0.0,0.0,0.0,1.0,0.0,0.0
ABCAPITAL,410.0,3.0,1.0,0.0,1.0,0.0,0.0
ABCAPITAL,420.0,2.0,0.0,0.0,0.0,0.0,0.0
ABCAPITAL,430.0,1.0,0.0,0.0,0.0,0.0,0.0
ABCAPITAL,440.0,0.0,1.0,0.0,0.0,0.0,0.0
ADANIENSOL,0.0,0.0,0.0,0.0,0.0,46.0,0.0
ADANIENSOL,1240.0,0.0,0.0,1.0,0.0,0.0,0.0
ADANIENSOL,1380.0,1.0,0.0,0.0,0.0,0.0,0.0
ADANIENSOL,1400.0,2.0,0.0,1.0,0.0,0.0,0.0
ADANIENSOL,1420.0,3.0,0.0,0.0,0.0,0.0,0.0
ADANIENSOL,1440.0,1.0,0.0,0.0,0.0,0.0,0.0
ADANIENSOL,1460.0,3.0,0.0,0.0,0.0,0.0,0.0
ADANIENSOL,1500.0,2.0,1.0,0.0,0.0,0.0,0.0
ADANIENSOL,1540.0,1.0,0.0,0.0,0.0,0.0,0.0
ADANIENSOL,1560.0,2.0,0.0,0.0,0.0,0.0,0.0
ADANIENSOL,1580.0,2.0,0.0,0.0,0.0,0.0,0.0
ADANIENSOL,1600.0,4.0,0.0,0.0,0.0,0.0,0.0
ADANIENSOL,1620.0,1.0,0.0,0.0,0.0,0.0,0.0
ADANIENSOL,1640.0,0.0,0.0,0.0,1.0,0.0,0.0
ADANIENSOL,1660.0,1.0,0.0,0.0,0.0,0.0,0.0
ADANIENSOL,1680.0,1.0,0.0,0.0,0.0,0.0,0.0
ADANIENSOL,1700.0,4.0,0.0,0.0,0.0,0.0,0.0
ADANIENT,0.0,0.0,0.0,0.0,0.0,43.0,0.0
ADANIENT,2500.0,0.0,0.0,1.0,0.0,0.0,0.0
ADANIENT,2600.0,0.0,0.0,1.0,1.0,0.0,0.0
ADANIENT,2700.0,1.0,0.0,1.0,0.0,0.0,0.0
ADANIENT,2800.0,1.0,0.0,0.0,0.0,0.0,0.0
ADANIENT,2900.0,2.0,0.0,1.0,0.0,0.0,0.0
ADANIENT,2950.0,0.0,0.0,3.0,0.0,0.0,0.0
ADANIENT,3000.0,9.0,1.0,0.0,0.0,0.0,0.0
ADANIENT,3050.0,1.0,0.0,0.0,0.0,0.0,0.0
ADANIENT,3100.0,3.0,0.0,0.0,1.0,0.0,0.0
ADANIENT,3150.0,2.0,0.0,0.0,0.0,0.0,0.0
ADANIENT,3200.0,5.0,0.0,0.0,0.0,0.0,0.0
ADANIENT,3300.0,2.0,0.0,0.0,0.0,0.0,0.0
ADANIENT,3400.0,0.0,1.0,0.0,0.0,0.0,0.0
ADANIENT,3500.0,1.0,0.0,0.0,0.0,0.0,0.0
ADANIGREEN,0.0,0.0,0.0,0.0,0.0,42.0,1.0
ADANIGREEN,1200.0,0.0,1.0,0.0,1.0,0.0,0.0
ADANIGREEN,1240.0,0.0,1.0,0.0,2.0,0.0,0.0
ADANIGREEN,1300.0,0.0,2.0,0.0,0.0,0.0,0.0
ADANIGREEN,1320.0,1.0,0.0,0.0,0.0,0.0,0.0
ADANIGREEN,1360.0,4.0,0.0,0.0,0.0,0.0,0.0
ADANIGREEN,1380.0,1.0,0.0,0.0,0.0,0.0,0.0
ADANIGREEN,1400.0,0.0,3.0,0.0,0.0,0.0,0.0
ADANIGREEN,1460.0,0.0,1.0,0.0,0.0,0.0,0.0
ADANIGREEN,1500.0,1.0,0.0,0.0,0.0,0.0,0.0
ADANIGREEN,1520.0,0.0,0.0,0.0,1.0,0.0,0.0
ADANIPORTS,0.0,0.0,0.0,0.0,0.0,32.0,2.0
ADANIPORTS,1600.0,1.0,1.0,0.0,0.0,0.0,0.0
ADANIPORTS,1640.0,0.0,0.0,2.0,0.0,0.0,0.0
ADANIPORTS,1660.0,1.0,0.0,0.0,0.0,0.0,0.0
ADANIPORTS,1680.0,1.0,1.0,1.0,0.0,0.0,0.0
ADANIPORTS,1700.0,1.0,5.0,2.0,3.0,0.0,0.0
ADANIPORTS,1720.0,2.0,1.0,0.0,1.0,0.0,0.0
ADANIPORTS,1740.0,0.0,2.0,0.0,1.0,0.0,0.0
ADANIPORTS,1760.0,1.0,2.0,0.0,1.0,0.0,0.0
ADANIPORTS,1800.0,0.0,2.0,0.0,2.0,0.0,0.0
ADANIPOWER,0.0,0.0,0.0,0.0,0.0,61.0,1.0
ADANIPOWER,180.0,0.0,0.0,1.0,0.0,0.0,0.0
ADANIPOWER,190.0,0.0,0.0,1.0,0.0,0.0,0.0
ADANIPOWER,195.0,0.0,0.0,1.0,1.0,0.0,0.0
ADANIPOWER,200.0,1.0,0.0,2.0,3.0,0.0,0.0
