symbol,sector,LTP,fut_net(w1),call_net(wtd),put_net(wtd),NEW_NET,NEW_NET_prev,DIFF,fut_d,callW_d,putW_d,pos_col15,reconcile(NEW-col15),net_side,ban,fut_eligible,opt_veto,opt_reducing,in_book,book_lots,fut_score,opt_score,conviction,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
360ONE,Financials,1141.1,5.0,0.72,1.78,7.5,6.26,1.24,1.0,0.34,-0.1,12.0,-4.5,LONG,,,,,,,,,,6.26,,,,,,,,,,,,,,,,,,
ABB,E&C,7425.0,21.0,-3.53,4.88,22.35,22.35,0.0,0.0,0.0,0.0,23.0,-0.65,LONG,,,,,,,0.6429,-0.108,0.2143,22.35,,,,,,,,,,,,,,,,,,
ABCAPITAL,Financials,402.6,9.0,1.41,2.22,12.63,12.8,-0.17,0.0,-0.17,0.0,13.0,-0.37,LONG,,Y,,,Y,10,-0.4091,-0.741,0.1364,12.8,,,,,,,,,,,,,,,,,,
ADANIENSOL,E&C,1415.5,46.0,13.37,-0.19,59.18,55.18,4.0,2.0,1.9,0.1,72.0,-12.82,LONG,,,Y,,,,1.4828,-0.916,0.3333,55.18,,,,,,,,,,,,,,,,,,
ADANIENT,Misc.,2962.0,43.0,18.81,-3.37,58.44,55.94,2.5,1.0,2.79,-1.29,63.0,-4.56,LONG,,,Y,,,,0.4651,-0.658,0.155,55.94,,,,,,,,,,,,,,,,,,
ADANIGREEN,Power,1308.0,41.0,-1.26,2.88,42.62,43.37,-0.75,0.0,-0.63,-0.12,44.0,-1.38,LONG,,Y,,,,,-0.2,-0.085,0.0667,43.37,,,,,,,,,,,,,,,,,,
ADANIPORTS,Misc.,1706.0,30.0,-5.96,3.53,27.58,29.55,-1.97,-1.0,0.05,-1.03,26.0,1.58,LONG,,Y,,,Y,10,-0.35,0.045,0.1317,29.55,,,,,,,,,,,,,,,,,,
ADANIPOWER,,207.35,60.0,9.32,4.08,73.4,75.64,-2.24,0.0,-0.64,-1.6,79.0,-5.6,LONG,,,Y,,,,0.1127,-0.922,0.0376,75.64,,,,,,,,,,,,,,,,,,
ALKEM,Pharma,5192.5,3.0,0.86,0.0,3.86,4.8,-0.94,-1.0,0.06,0.0,5.0,-1.14,LONG,,,,,,,-0.1667,-0.385,0.0556,4.8,,,,,,,,,,,,,,,,,,
AMBER,Mfg. CD,7433.0,13.0,7.49,0.11,20.6,20.63,-0.03,0.0,-0.03,0.0,24.0,-3.4,LONG,,,Y,,,,0.0435,-0.852,0.0145,20.63,,,,,,,,,,,,,,,,,,
AMBUJACEM,CEMENT,403.45,73.0,15.08,11.19,99.27,98.12,1.15,1.0,0.18,-0.04,103.0,-3.73,LONG,,,Y,,,,0.0198,-0.962,0.0066,98.12,,,,,,,,,,,,,,,,,,
ANGELONE,Financials,308.1,12.0,5.25,-0.43,16.82,14.13,2.69,2.0,0.63,0.05,20.0,-3.18,LONG,,Y,Y,,,,-0.1667,-0.831,0.0556,14.13,,,,,,,,,,,,,,,,,,
APLAPOLLO,Metals,2230.7,2.0,-1.46,0.65,1.19,1.19,0.0,-1.0,1.04,-0.04,2.0,-0.81,LONG,,,,,,,0.0,0.503,0.0,1.19,,,,,,,,,,,,,,,,,,
APOLLOHOSP,Healthcare,8717.0,3.0,-3.29,2.69,2.4,-0.61,3.01,1.0,1.24,0.77,6.0,-3.6,LONG,,,,,,,-0.6842,0.168,0.2839,-0.61,,,,,,,,,,,,,,,,,,
